
PER-GRAPH COMPARISON

graph optimal    NOMERGE      MERGE  NM_ratio  MG_ratio   |K|>3  merged verdict
    0    21.0    21.0000    20.0000    1.0000    0.9524       3       1 NOMERGE+
    1    22.0    22.0000    22.0000    1.0000    1.0000       0       0 same
    2    21.0    21.0000    21.0000    1.0000    1.0000       1       0 same
    3    20.0    20.0000    20.0000    1.0000    1.0000       4       1 same
    4    22.0    22.0000    22.0000    1.0000    1.0000       0       0 same
    5    21.0    21.0000    20.0000    1.0000    0.9524       3       1 NOMERGE+
    6    20.0    20.0000    20.0000    1.0000    1.0000       0       0 same
    7    21.0    21.0000    20.0000    1.0000    0.9524       3       2 NOMERGE+
    8    20.0    20.0000    20.0000    1.0000    1.0000       0       0 same
    9    20.0    20.0000    20.0000    1.0000    1.0000       2       1 same
   10    22.0    22.0000    22.0000    1.0000    1.0000       0       0 same
   11    21.0    21.0000    21.0000    1.0000    1.0000       6       2 same
   12    22.0    22.0000    22.0000    1.0000    1.0000       0       0 same
   13    21.0    21.0000    21.0000    1.0000    1.0000       5       1 same
   14    22.0    21.0000    22.0000    0.9545    1.0000       5       1 MERGE+
   15    20.0    20.0000    20.0000    1.0000    1.0000       0       0 same
   16    22.0    22.0000    22.0000    1.0000    1.0000       6       2 same
   17    22.0    22.0000    22.0000    1.0000    1.0000       4       1 same
   18    20.0    20.0000    20.0000    1.0000    1.0000       1       1 same
   19    22.0    22.0000    21.0000    1.0000    0.9545       6       2 NOMERGE+
   20    20.0    20.0000    20.0000    1.0000    1.0000       0       0 same
   21    21.0    20.0000    21.0000    0.9524    1.0000       2       1 MERGE+
   22    22.0    22.0000    22.0000    1.0000    1.0000       2       1 same
   23    20.0    20.0000    20.0000    1.0000    1.0000       5       1 same
   24    21.0    21.0000    21.0000    1.0000    1.0000       5       2 same
   25    20.0    20.0000    20.0000    1.0000    1.0000       5       1 same
   26    20.0    20.0000    20.0000    1.0000    1.0000       0       0 same
   27    21.0    21.0000    20.0000    1.0000    0.9524       4       1 NOMERGE+
   28    20.0    20.0000    20.0000    1.0000    1.0000       5       1 same
   29    21.0    20.0000    20.0000    0.9524    0.9524       4       2 same
   30    20.0    20.0000    20.0000    1.0000    1.0000       0       0 same
   31    22.0    21.0000    22.0000    0.9545    1.0000       4       2 MERGE+
   32    21.0    21.0000    21.0000    1.0000    1.0000       1       1 same
   33    20.0    20.0000    20.0000    1.0000    1.0000       3       1 same
   34    21.0    21.0000    20.0000    1.0000    0.9524       4       2 NOMERGE+
   35    22.0    22.0000    22.0000    1.0000    1.0000       0       0 same
   36    22.0    22.0000    22.0000    1.0000    1.0000       0       0 same
   37    20.0    20.0000    20.0000    1.0000    1.0000       3       1 same
   38    22.0    22.0000    21.0000    1.0000    0.9545       6       2 NOMERGE+
   39    20.0    20.0000    20.0000    1.0000    1.0000       0       0 same
   40    20.0    20.0000    20.0000    1.0000    1.0000       4       2 same
   41    21.0    21.0000    21.0000    1.0000    1.0000       5       2 same
   42    22.0    22.0000    22.0000    1.0000    1.0000       0       0 same
   43    21.0    21.0000    21.0000    1.0000    1.0000       2       1 same
   44    22.0    22.0000    21.0000    1.0000    0.9545       4       1 NOMERGE+
   45    22.0    22.0000    21.0000    1.0000    0.9545       3       1 NOMERGE+
   46    22.0    21.0000    21.0000    0.9545    0.9545       6       1 same
   47    22.0    22.0000    22.0000    1.0000    1.0000       3       1 same
   48    22.0    21.0000    21.0000    0.9545    0.9545       6       2 same
   49    20.0    20.0000    20.0000    1.0000    1.0000       0       0 same

