COMPARISON BY MERGE THRESHOLD 

PER-GRAPH MAXCUT 

graph  optimal    NOMERGE  MERGE@0.1  MERGE@0.2  MERGE@0.3  MERGE@0.4
    0     32.0    32.0000    32.0000    32.0000    32.0000    32.0000
    1     32.0    30.0000    32.0000    32.0000    32.0000    32.0000
    2     34.0    34.0000    32.0000    34.0000    32.0000    34.0000
    3     34.0    30.0000    30.0000    32.0000    32.0000    30.0000
    4     32.0    32.0000    32.0000    32.0000    32.0000    32.0000
    5     32.0    28.0000    30.0000    28.0000    28.0000    28.0000
    6     36.0    36.0000    36.0000    36.0000    36.0000    36.0000
    7     30.0    30.0000    28.0000    28.0000    30.0000    30.0000
    8     32.0    32.0000    30.0000    32.0000    32.0000    32.0000
    9     32.0    30.0000    28.0000    30.0000    30.0000    30.0000

PER-GRAPH APPROX RATIO

graph  optimal    NOMERGE  MERGE@0.1  MERGE@0.2  MERGE@0.3  MERGE@0.4
    0     32.0     1.0000     1.0000     1.0000     1.0000     1.0000
    1     32.0     0.9375     1.0000     1.0000     1.0000     1.0000
    2     34.0     1.0000     0.9412     1.0000     0.9412     1.0000
    3     34.0     0.8824     0.8824     0.9412     0.9412     0.8824
    4     32.0     1.0000     1.0000     1.0000     1.0000     1.0000
    5     32.0     0.8750     0.9375     0.8750     0.8750     0.8750
    6     36.0     1.0000     1.0000     1.0000     1.0000     1.0000
    7     30.0     1.0000     0.9333     0.9333     1.0000     1.0000
    8     32.0     1.0000     0.9375     1.0000     1.0000     1.0000
    9     32.0     0.9375     0.8750     0.9375     0.9375     0.9375

