
  mean approx ratio        : 0.951045
  min approx ratio         : 0.909954
  mean |error| from optimal: 1.945004

   tau    mean_r     min_r  mean|err|   exact   over    same   MERGE_wins NOMERGE_wins    time_s
  none   0.95105   0.90995    1.94500       0      0       -            -            -     35.40
   0.1   0.93470   0.85000    2.60000       1      0       0            4            6     24.30
   0.2   0.95489   0.90000    1.80000       4      0       0            5            5     40.03
   0.3   0.94123   0.90476    2.33333       0      0       0            4            6     56.65
   0.4   0.95399   0.91667    1.82326       0      0       0            6            4     74.60


PER-GRAPH MAXCUT

graph  optimal    NOMERGE  MERGE@0.1  MERGE@0.2  MERGE@0.3  MERGE@0.4
    0     42.0    38.8450    38.0000    38.0000    38.0000    39.0000
    1     40.0    36.3981    34.0000    40.0000    37.0000    39.6667
    2     39.0    36.6667    37.0000    37.6667    36.3333    36.3333
    3     38.0    36.2083    37.0000    38.0000    37.0000    36.5000
    4     40.0    38.2166    39.0000    40.0000    37.0000    38.3229
    5     38.0    36.8333    36.0000    38.0000    35.6667    37.3333
    6     40.0    38.6667    37.0000    36.6667    37.0000    36.6667
    7     38.0    37.7778    38.0000    35.6667    36.6667    36.6667
    8     39.0    36.8611    35.0000    36.0000    37.0000    36.6111
    9     40.0    38.0763    37.0000    36.0000    39.0000    38.6667

graph  optimal    NOMERGE  MERGE@0.1  MERGE@0.2  MERGE@0.3  MERGE@0.4
    0     42.0     0.9249     0.9048     0.9048     0.9048     0.9286
    1     40.0     0.9100     0.8500     1.0000     0.9250     0.9917
    2     39.0     0.9402     0.9487     0.9658     0.9316     0.9316
    3     38.0     0.9529     0.9737     1.0000     0.9737     0.9605
    4     40.0     0.9554     0.9750     1.0000     0.9250     0.9581
    5     38.0     0.9693     0.9474     1.0000     0.9386     0.9825
    6     40.0     0.9667     0.9250     0.9167     0.9250     0.9167
    7     38.0     0.9942     1.0000     0.9386     0.9649     0.9649
    8     39.0     0.9452     0.8974     0.9231     0.9487     0.9387
    9     40.0     0.9519     0.9250     0.9000     0.9750     0.9667

