NO-MERGE  vs  MERGE(tau=0.1)


metric                               NO-MERGE     MERGE(0.1)
mean approx ratio                    0.951045       0.934697
min approx ratio                     0.909954       0.850000
max approx ratio                     0.994152       1.000000
mean |error| from optimal            1.945004       2.600000
exact-optimal hits                          0              1
overshoots (ratio>1)                        0              0
total decomp time (s)                 35.3957        24.3005


graph optimal    NOMERGE      MERGE  NM_ratio  MG_ratio   |K|>3  merged verdict
    0    42.0    38.8450    38.0000    0.9249    0.9048      15       5 NOMERGE+
    1    40.0    36.3981    34.0000    0.9100    0.8500      15       4 NOMERGE+
    2    39.0    36.6667    37.0000    0.9402    0.9487      15       5 MERGE+
    3    38.0    36.2083    37.0000    0.9529    0.9737      14       4 MERGE+
    4    40.0    38.2166    39.0000    0.9554    0.9750      14       5 MERGE+
    5    38.0    36.8333    36.0000    0.9693    0.9474      15       4 NOMERGE+
    6    40.0    38.6667    37.0000    0.9667    0.9250      15       3 NOMERGE+
    7    38.0    37.7778    38.0000    0.9942    1.0000      15       4 MERGE+
    8    39.0    36.8611    35.0000    0.9452    0.8974      15       5 NOMERGE+
    9    40.0    38.0763    37.0000    0.9519    0.9250      14       3 NOMERGE+

