
metric                               NO-MERGE     MERGE(0.3)
mean approx ratio                    0.951045       0.941230
min approx ratio                     0.909954       0.904762
max approx ratio                     0.994152       0.975000

PER-GRAPH COMPARISON

graph optimal    NOMERGE      MERGE  NM_ratio  MG_ratio   |K|>3  merged verdict
    0    42.0    38.8450    38.0000    0.9249    0.9048      15       3 NOMERGE+
    1    40.0    36.3981    37.0000    0.9100    0.9250      15       4 MERGE+
    2    39.0    36.6667    36.3333    0.9402    0.9316      15       4 NOMERGE+
    3    38.0    36.2083    37.0000    0.9529    0.9737      14       4 MERGE+
    4    40.0    38.2166    37.0000    0.9554    0.9250      14       4 NOMERGE+
    5    38.0    36.8333    35.6667    0.9693    0.9386      15       4 NOMERGE+
    6    40.0    38.6667    37.0000    0.9667    0.9250      15       3 NOMERGE+
    7    38.0    37.7778    36.6667    0.9942    0.9649      15       6 NOMERGE+
    8    39.0    36.8611    37.0000    0.9452    0.9487      15       4 MERGE+
    9    40.0    38.0763    39.0000    0.9519    0.9750      14       4 MERGE+

