====================================================================================================
DEGREE-6 DENOISED COMPARISON BY MERGE THRESHOLD  (10 repeats per graph)
====================================================================================================
Generated: 2026-07-01T10:46:57
Benchmark: 50 random 6-regular graphs on 20 nodes (seed = graph index)

Each MERGE(tau) per-graph result is repeated 10 independent times
(np seed = repeat index) to average out the shot-based QAOA merge noise.
r (headline) = mean over graphs of the BEST-of-10-repeats approx ratio,
matching the reporting convention used for the 3/4/5-regular tables.

----------------------------------------------------------------------------------------------------
BASELINE  NO-MERGE  (deterministic, tau-independent)
----------------------------------------------------------------------------------------------------
  mean approx ratio        : 0.966653
  exact-optimal hits       : 18 / 50

----------------------------------------------------------------------------------------------------
MERGE(tau)  DENOISED SUMMARY
----------------------------------------------------------------------------------------------------
   tau     mean_r     best_r    worst_r  exact_rate   exact_any   mean_std   MERGE_wins NOMERGE_wins
  none    0.96665          -          -       18/50           -          -            -            -
   0.1    0.92917    0.96934    0.88406      68/500       22/50     1.3063           15           13
   0.2    0.94243    0.97203    0.90178     117/500       25/50     1.1582           14           10
   0.3    0.94945    0.96518    0.93434     142/500       21/50     0.5578           10           11
   0.4    0.95826    0.96872    0.94236     165/500       21/50     0.4459           10            8

mean_r   = mean over graphs of (mean-over-repeats cut / optimal)
best_r   = mean over graphs of (best-over-repeats cut / optimal)  [headline r]
worst_r  = mean over graphs of (worst-over-repeats cut / optimal) [pessimistic]
exact_rate    = fraction of (graph x repeat) runs that hit the exact optimum
exact_any     = #graphs where at least one repeat hit the optimum
mean_std      = mean over graphs of the cut std across repeats (noise level)
MERGE/NOMERGE_wins = head-to-head on best-of-repeats cut vs NO-MERGE (|error| basis)

Best threshold by headline (best-of-10) ratio: tau = 0.2 (best_r=0.97203).

----------------------------------------------------------------------------------------------------
PER-GRAPH BEST-OF-REPEATS RATIO  (NO-MERGE | MERGE best at each tau)
----------------------------------------------------------------------------------------------------
graph  optimal    NOMERGE      MG@0.1      MG@0.2      MG@0.3      MG@0.4
    0     44.0     0.9545      0.9545      1.0000      1.0000      0.9773
    1     48.0     0.9583      1.0000      0.9583      0.8750      0.8750
    2     44.0     1.0000      1.0000      1.0000      1.0000      1.0000
    3     44.0     0.9545      1.0000      1.0000      1.0000      1.0000
    4     48.0     0.9167      0.9167      0.9167      0.9167      0.8750
    5     44.0     1.0000      0.9545      1.0000      1.0000      1.0000
    6     46.0     1.0000      1.0000      1.0000      1.0000      1.0000
    7     48.0     0.9583      0.9583      0.9583      0.9583      0.9583
    8     48.0     0.9583      0.9583      0.9167      0.9583      0.9583
    9     44.0     1.0000      1.0000      1.0000      1.0000      1.0000
   10     46.0     1.0000      0.9565      1.0000      1.0000      1.0000
   11     44.0     0.9545      1.0000      0.9545      0.9545      0.9545
   12     44.0     0.9091      1.0000      1.0000      1.0000      1.0000
   13     44.0     0.9545      0.9091      1.0000      0.9545      0.9545
   14     46.0     0.9565      0.9565      0.8696      0.9565      0.9565
   15     44.0     1.0000      1.0000      0.9545      0.9545      0.9545
   16     46.0     0.9130      1.0000      1.0000      0.9130      0.9130
   17     48.0     1.0000      0.9583      0.9583      0.9583      0.9861
   18     46.0     1.0000      1.0000      1.0000      0.9130      1.0000
   19     48.0     0.9583      0.9583      1.0000      0.9583      0.9583
   20     44.0     0.9545      0.9545      1.0000      1.0000      1.0000
   21     46.0     0.9130      1.0000      0.9130      1.0000      1.0000
   22     44.0     1.0000      0.9545      0.9545      1.0000      1.0000
   23     44.0     1.0000      1.0000      1.0000      1.0000      1.0000
   24     46.0     0.9565      0.9130      1.0000      0.9130      0.9130
   25     46.0     1.0000      0.9565      0.9565      1.0000      1.0000
   26     44.0     1.0000      1.0000      1.0000      1.0000      1.0000
   27     44.0     0.9545      1.0000      1.0000      1.0000      1.0000
   28     44.0     1.0000      0.9545      1.0000      1.0000      1.0000
   29     44.0     0.9545      0.9545      0.9545      0.9545      0.9545
   30     48.0     0.9167      0.9583      0.9583      0.9583      0.9583
   31     46.0     0.9565      0.9565      0.9565      0.9565      1.0000
   32     46.0     1.0000      0.8696      1.0000      1.0000      1.0000
   33     44.0     0.9545      1.0000      0.9545      1.0000      1.0000
   34     46.0     0.9565      0.9565      0.9130      0.9565      0.9565
   35     46.0     0.9565      1.0000      1.0000      0.9565      0.9565
   36     46.0     0.9565      1.0000      1.0000      0.8696      0.9130
   37     46.0     0.9565      0.9130      0.9130      0.9130      0.9565
   38     46.0     1.0000      1.0000      1.0000      1.0000      1.0000
   39     46.0     0.9130      0.9130      1.0000      0.9130      0.9565
   40     44.0     0.9545      1.0000      0.9545      0.9545      0.9545
   41     46.0     0.9565      1.0000      0.9565      0.9565      0.9565
   42     44.0     1.0000      0.9545      0.9545      0.9545      0.9545
   43     44.0     0.9545      0.9545      1.0000      0.9091      0.9545
   44     44.0     0.9545      1.0000      0.9545      1.0000      0.9545
   45     44.0     0.9545      0.9545      0.9545      0.9545      0.9545
   46     46.0     0.9565      0.9565      0.9565      0.9565      0.9565
   47     44.0     1.0000      0.9545      0.9545      0.9545      0.9091
   48     46.0     1.0000      0.9565      1.0000      0.9565      1.0000
   49     44.0     0.9545      1.0000      0.9545      1.0000      0.9545

====================================================================================================
