============================================================================================
DEGREE-6 DENOISED  --  threshold tau = 0.1   (10 repeats per graph)
============================================================================================
Generated: 2026-07-01T10:46:57
Benchmark: 50 random 6-regular graphs on 20 nodes (seed = graph index)
MERGE(tau=0.1) repeated 10 times per graph (np seed = repeat index);
NO-MERGE is deterministic (no quantum step), shown for reference.

graph  optimal   NOMERGE   MG_mean   MG_std   MG_min   MG_max MG_mean_r   exact/N
    0     44.0   42.0000   39.6000   1.7436  38.0000  42.0000    0.9000       0/10
    1     48.0   46.0000   45.2000   2.0396  40.0000  48.0000    0.9417       1/10
    2     44.0   44.0000   43.2000   0.9798  42.0000  44.0000    0.9818       6/10
    3     44.0   42.0000   41.0000   2.2361  38.0000  44.0000    0.9318       2/10
    4     48.0   44.0000   41.2000   2.0396  38.0000  44.0000    0.8583       0/10
    5     44.0   44.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
    6     46.0   46.0000   44.6000   2.2000  40.0000  46.0000    0.9696       7/10
    7     48.0   46.0000   42.8000   2.2271  40.0000  46.0000    0.8917       0/10
    8     48.0   46.0000   45.8000   0.6000  44.0000  46.0000    0.9542       0/10
    9     44.0   44.0000   43.8000   0.6000  42.0000  44.0000    0.9955       9/10
   10     46.0   46.0000   41.8000   1.4000  40.0000  44.0000    0.9087       0/10
   11     44.0   42.0000   42.8000   0.9798  42.0000  44.0000    0.9727       4/10
   12     44.0   40.0000   41.6000   1.2000  40.0000  44.0000    0.9455       1/10
   13     44.0   42.0000   39.2000   0.9798  38.0000  40.0000    0.8909       0/10
   14     46.0   44.0000   40.2000   1.4000  38.0000  44.0000    0.8739       0/10
   15     44.0   44.0000   41.4000   2.0100  38.0000  44.0000    0.9409       3/10
   16     46.0   42.0000   43.6000   1.7436  42.0000  46.0000    0.9478       3/10
   17     48.0   48.0000   42.4000   2.3324  38.0000  46.0000    0.8833       0/10
   18     46.0   46.0000   44.6000   0.9165  44.0000  46.0000    0.9696       3/10
   19     48.0   46.0000   42.4000   2.3324  38.0000  46.0000    0.8833       0/10
   20     44.0   42.0000   40.4000   0.8000  40.0000  42.0000    0.9182       0/10
   21     46.0   42.0000   42.2000   1.8868  40.0000  46.0000    0.9174       1/10
   22     44.0   44.0000   41.8000   0.6000  40.0000  42.0000    0.9500       0/10
   23     44.0   44.0000   41.2000   1.6000  38.0000  44.0000    0.9364       1/10
   24     46.0   44.0000   42.0000   0.0000  42.0000  42.0000    0.9130       0/10
   25     46.0   46.0000   41.4000   1.5620  40.0000  44.0000    0.9000       0/10
   26     44.0   44.0000   42.2000   1.0770  40.0000  44.0000    0.9591       2/10
   27     44.0   42.0000   42.0000   1.2649  40.0000  44.0000    0.9545       2/10
   28     44.0   44.0000   41.4000   0.9165  40.0000  42.0000    0.9409       0/10
   29     44.0   42.0000   40.4000   1.2000  38.0000  42.0000    0.9182       0/10
   30     48.0   44.0000   46.0000   0.0000  46.0000  46.0000    0.9583       0/10
   31     46.0   44.0000   42.8000   0.9798  42.0000  44.0000    0.9304       0/10
   32     46.0   46.0000   40.0000   0.0000  40.0000  40.0000    0.8696       0/10
   33     44.0   42.0000   41.8000   1.4000  38.0000  44.0000    0.9500       1/10
   34     46.0   44.0000   40.4000   1.7436  38.0000  44.0000    0.8783       0/10
   35     46.0   44.0000   43.4000   2.0100  40.0000  46.0000    0.9435       2/10
   36     46.0   44.0000   44.2000   2.2716  40.0000  46.0000    0.9609       6/10
   37     46.0   44.0000   40.2000   1.6613  36.0000  42.0000    0.8739       0/10
   38     46.0   46.0000   41.6000   2.1541  40.0000  46.0000    0.9043       1/10
   39     46.0   42.0000   41.6000   0.8000  40.0000  42.0000    0.9043       0/10
   40     44.0   42.0000   41.0000   1.3416  40.0000  44.0000    0.9318       1/10
   41     46.0   44.0000   42.0000   1.5492  40.0000  46.0000    0.9130       1/10
   42     44.0   44.0000   41.6000   0.8000  40.0000  42.0000    0.9455       0/10
   43     44.0   42.0000   40.4000   1.4967  38.0000  42.0000    0.9182       0/10
   44     44.0   42.0000   43.2000   1.3266  40.0000  44.0000    0.9818       7/10
   45     44.0   42.0000   42.0000   0.0000  42.0000  42.0000    0.9545       0/10
   46     46.0   44.0000   43.0000   1.0000  42.0000  44.0000    0.9348       0/10
   47     44.0   44.0000   40.4000   1.2000  38.0000  42.0000    0.9182       0/10
   48     46.0   46.0000   44.0000   0.0000  44.0000  44.0000    0.9565       0/10
   49     44.0   42.0000   40.8000   2.7129  38.0000  44.0000    0.9273       4/10

mean over graphs:  MERGE mean-ratio = 0.92917   best-of-10 ratio = 0.96934
============================================================================================
